name,geom,key,value
Campinho de Futebol,"POLYGON ((-37.5289756 -9.7367493, -37.5288992 -9.7363318, -37.5291584 -9.736299900000001, -37.5292278 -9.736699099999999, -37.5289756 -9.7367493))",leisure,stadium
Estádio Municipal,"POLYGON ((-35.2958115 -9.160228099999999, -35.2959322 -9.159411199999999, -35.2954065 -9.159323799999999, -35.2952858 -9.160142, -35.2958115 -9.160228099999999))",leisure,stadium
Estádio Barão de Serra Negra,"POLYGON ((-47.6372189 -22.7287173, -47.6371165 -22.7286893, -47.6369959 -22.7286774, -47.6363939 -22.7289527, -47.6363324 -22.7290253, -47.6362974 -22.7291028, -47.6362763 -22.7291868, -47.636274 -22.7292765, -47.636281 -22.7293558, -47.6362997 -22.7294237, -47.6364631 -22.7297425, -47.6366569 -22.7300978, -47.6368333 -22.7304339, -47.6368975 -22.7305178, -47.6369728 -22.7305766, -47.6370534 -22.7306276, -47.6371418 -22.730676, -47.637236 -22.7307095, -47.6373148 -22.7307223, -47.637989 -22.7304122, -47.6380509 -22.7303304, -47.6380766 -22.7302378, -47.6380906 -22.7301344, -47.6380883 -22.7300311, -47.6380603 -22.729904, -47.6375396 -22.7289564, -47.6374975 -22.7289025, -47.6374437 -22.7288426, -47.6373668 -22.7287862, -47.6372938 -22.7287468, -47.6372189 -22.7287173))",leisure,stadium
Esnesto Schlemm Sobrinho,"POLYGON ((-48.8439999 -26.3175315, -48.8426685 -26.3174679, -48.8425868 -26.318843, -48.8439182 -26.3189066, -48.8439999 -26.3175315))",leisure,stadium
Eduardo Guinle,"POLYGON ((-42.541078 -22.299212, -42.5407662 -22.2982914, -42.54078 -22.2981768, -42.5408304 -22.2980284, -42.5410047 -22.2979223, -42.5411881 -22.2978841, -42.5413394 -22.2978968, -42.5414816 -22.2979944, -42.541532 -22.2981132, -42.54183 -22.2990126, -42.5418484 -22.2991314, -42.5417934 -22.2992459, -42.5416833 -22.2993647, -42.5414724 -22.2994156, -42.5413119 -22.2994156, -42.5411881 -22.299352, -42.541078 -22.299212))",leisure,stadium
Ginásio Poliesportivo SESI,"POLYGON ((-42.5237854 -22.2466049, -42.5229543 -22.246638, -42.5222721 -22.2467502, -42.5223542 -22.2472015, -42.5225098 -22.2476651, -42.5238524 -22.2470347, -42.5237854 -22.2466049))",leisure,stadium
Estádio Municipal Agnaldo Bento dos Santos,"POLYGON ((-39.0670612 -16.4451673, -39.0668601 -16.4451056, -39.0667367 -16.4450902, -39.0665919 -16.4450979, -39.0665522 -16.4451121, -39.0664041 -16.4451648, -39.0662727 -16.4452728, -39.0661493 -16.4454323, -39.066093 -16.4455455, -39.0660796 -16.445687, -39.0661064 -16.4458696, -39.0661698 -16.4460438, -39.0662298 -16.4461294, -39.0663478 -16.4462246, -39.066439 -16.4462838, -39.0665141 -16.4463147, -39.0666643 -16.4463532, -39.0668574 -16.4463481, -39.066954 -16.4463301, -39.0671337 -16.4462272, -39.0671283 -16.4461835, -39.0673348 -16.4456715, -39.0673912 -16.4456304, -39.0673366 -16.4454449, -39.0672705 -16.4453165, -39.0671605 -16.4452162, -39.0670612 -16.4451673))",leisure,stadium
Estádio Estadual Lourival Baptista,"POLYGON ((-37.0497835 -10.9274557, -37.04972 -10.9276027, -37.0496102 -10.9277858, -37.0494438 -10.9279352, -37.0492562 -10.9280116, -37.0490719 -10.9280238, -37.048881 -10.9279768, -37.0486545 -10.9278552, -37.0485059 -10.9276815, -37.0484558 -10.9275501, -37.048434 -10.9274535, -37.0483916 -10.9274569, -37.0483419 -10.9273203, -37.0483201 -10.927142, -37.0483187 -10.9269176, -37.0483491 -10.9267276, -37.0483835 -10.9266022, -37.0484188 -10.9266052, -37.0484768 -10.9264837, -37.0485979 -10.9263193, -37.0487501 -10.926215, -37.0488633 -10.9261489, -37.0490205 -10.9260979, -37.0492136 -10.9261, -37.0493447 -10.926149, -37.0494738 -10.9262291, -37.0495782 -10.9263088, -37.0496986 -10.9264496, -37.0497446 -10.9265921, -37.0497853 -10.9265938, -37.0498275 -10.9267848, -37.0498573 -10.9270105, -37.0498572 -10.9271996, -37.0498437 -10.927341, -37.0498231 -10.9274602, -37.0497835 -10.9274557))",leisure,stadium
Estádio Os Pioneiros,"POLYGON ((-52.6802215 -26.2103172, -52.6790198 -26.2104086, -52.6790788 -26.2116118, -52.6792398 -26.2118476, -52.6803287 -26.2118284, -52.6802215 -26.2103172))",leisure,stadium
Estádio Municipal Abelardo Rodrigues,"POLYGON ((-36.7611108 -5.2959491, -36.7624122 -5.295728, -36.7625711 -5.2966557, -36.7612698 -5.2968768, -36.7611108 -5.2959491))",leisure,stadium
