latitude,longitude,06-07,13-07,16-06,20-07,22-06,29-06,10-08,18-08,24-08,01-09,07-09,15-09,21-09,City
-22.900571364285717,-47.055758271428566,1,0,1,0,0,1,0,0,0,0,0,0,0,Campinas
-18.906108640000006,-48.24663752,0,0,0,0,0,1,0,0,0,1,1,0,0,Uberlândia
-20.42542989,-54.55275929999999,0,0,0,0,0,0,0,0,0,0,0,0,0,Campo Grande
-4.94955856,-47.47876821999999,0,0,3,0,0,1,1,0,0,0,0,0,0,Açailândia
-20.463273800000003,-54.60596170000001,0,0,0,0,0,0,0,0,0,0,0,0,1,Campo Grande
-16.717398799999998,-43.85824922857143,0,0,0,1,0,0,0,1,0,1,0,0,0,Montes Claros
-6.063109999999999,-50.07409266666666,0,0,0,0,0,0,0,0,0,0,0,0,0,Parauapebas
-19.39813502,-40.0706976,0,0,0,0,0,0,0,0,0,0,0,0,0,Linhares
-19.39277504,-40.06943878,0,0,0,0,0,0,0,0,0,0,0,0,0,Linhares
-28.723862975000007,-52.8488328375,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-19.39855654,-40.0613012,0,0,0,0,0,0,0,0,0,0,0,0,0,Linhares
-23.564872445454544,-46.74110994545454,2,0,0,1,1,0,0,0,0,0,0,0,0,São Paulo
-20.79439015,-51.70200308333333,2,2,0,2,0,4,1,0,0,0,0,0,0,Três Lagoas
-16.039984083333334,-48.03684481666666,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Maria
-15.833760816666668,-47.91019333333333,0,0,0,0,0,1,0,2,0,1,0,1,1,Plano Piloto
-15.83426126153846,-47.911068376923076,0,0,0,0,0,1,0,0,0,0,0,1,1,Plano Piloto
-22.770580041176476,-47.14983554705882,0,0,0,0,0,0,0,0,0,0,1,0,0,Indeterminado
-6.7725909400000015,-38.23034405999999,1,0,0,0,1,0,0,0,0,0,1,0,0,Indeterminado
-6.76422112,-38.22013446,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-22.913069775,-43.687690208333336,0,0,0,1,0,0,0,0,0,0,0,0,0,Rio de Janeiro
-22.77452426,-47.156752000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-5.340931314285712,-49.087003328571434,0,2,0,1,0,0,0,0,0,0,0,0,0,Indeterminado
-5.35755226,-49.0784008,0,0,0,0,0,0,0,0,0,0,0,0,0,Marabá
0.03882346666666667,-51.07559929999999,0,0,0,0,0,1,1,0,0,0,0,0,0,Macapá
-25.41562266,-49.27900678,1,0,2,0,0,0,1,0,0,0,0,0,0,Curitiba
-23.584378841176466,-46.73877431764705,0,0,1,0,0,0,0,0,0,0,0,0,0,São Paulo
-25.0860401,-50.17643658,0,0,1,0,0,1,0,0,0,1,0,0,0,Ponta Grossa
-21.701931476470584,-45.25624885294117,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-28.686940150000005,-49.350092985,0,0,1,0,0,0,0,0,0,1,0,0,0,Criciúma
-5.5307178,-47.4807126,0,0,0,0,0,0,0,0,0,0,0,0,0,Imperatriz
-5.52365342,-47.49212870000001,0,0,0,0,0,0,0,0,0,0,0,0,0,Imperatriz
-5.52817788,-47.47895292000001,0,0,0,0,0,0,0,0,0,0,0,0,0,Imperatriz
-5.52742842,-47.48006758,0,0,0,0,0,0,0,0,0,0,0,0,0,Imperatriz
-5.526149640000001,-47.49441036,0,0,0,0,0,0,0,0,0,0,0,0,0,Imperatriz
-5.52487112,-47.47714816,0,0,0,0,0,0,0,0,0,0,0,0,0,Imperatriz
-28.459896175,-52.823093675,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-15.601875080000005,-56.09277808,0,0,0,0,0,2,0,0,0,1,0,0,0,Cuiabá
-15.592110511111107,-56.092020755555545,0,0,0,1,0,1,0,0,0,0,0,0,0,Indeterminado
-15.602364039215686,-56.094716084313724,0,0,0,0,0,2,0,0,0,1,0,0,0,Cuiabá
-15.59135708,-56.08796449333333,0,0,0,1,0,1,0,0,0,0,0,0,0,Cuiabá
-15.59134492,-56.09043018000001,0,0,0,1,0,1,0,0,0,0,0,0,0,Cuiabá
-15.60377794,-56.0967545,0,0,0,0,0,2,0,0,0,1,0,0,0,Cuiabá
-15.59054728,-56.08735978,0,0,0,1,0,1,0,0,0,0,0,0,0,Cuiabá
-15.622569641666665,-56.07572149999999,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá
-23.018382588888887,-48.01171518888889,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-29.55749214,-51.59144598,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-22.68718288461539,-45.73038696153846,1,1,0,0,0,0,0,1,0,0,0,0,0,Indeterminado
-27.10812548,-52.59852852,1,0,0,0,0,1,0,0,0,0,0,0,0,Distrito Sede de Chapecó
-28.27319372,-52.41280707999999,0,0,0,0,0,0,0,0,0,0,0,0,0,Passo Fundo
-23.54167382,-46.92679196,1,0,1,0,0,0,0,1,0,0,1,0,0,Itapevi
-7.0344114529411765,-37.2899619882353,0,0,0,0,0,0,0,0,0,0,0,0,0,Patos
-7.027053976470588,-37.274769988235285,1,0,0,0,0,0,2,0,0,0,0,0,0,Patos
-7.0151282,-37.28076476666667,0,0,0,0,0,0,2,0,0,0,0,0,0,Patos
-7.017286158823531,-37.283024005882346,1,0,0,0,0,0,2,0,0,0,0,0,0,Patos
-27.11033826,-52.626753840000006,0,0,0,0,0,1,0,0,0,0,0,0,0,Distrito Sede de Chapecó
-21.906573364285716,-47.61624553571429,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-25.407430053378377,-49.21711266689189,0,0,0,0,0,0,0,0,0,0,0,0,0,Curitiba
-19.8924827,-43.9909089,0,1,0,0,0,0,0,0,0,0,0,0,0,Belo Horizonte
-5.8158554577777775,-35.22889409777777,0,0,1,0,0,2,0,0,0,0,0,0,0,Natal
-22.12899022,-51.37250894,0,0,3,0,0,0,0,0,0,0,0,0,0,Presidente Prudente
-19.8684423,-43.9877092,0,0,1,0,0,0,0,0,0,0,0,0,0,Belo Horizonte
-20.0183598,-44.06790012,0,0,0,0,0,0,0,0,0,0,0,0,0,Ibirité
-5.183698000000001,-37.35129202,1,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-15.581414927272727,-56.07861430606061,1,0,1,1,0,0,0,0,0,0,0,0,0,Cuiabá
-22.894492335714286,-43.112652828571434,0,0,0,0,0,1,0,0,0,0,0,0,0,Niterói
-6.7597048200000005,-38.228973120000006,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-6.7627787800000005,-38.23067798,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
-9.414079033333334,-40.510776176190475,0,0,0,0,0,0,0,0,0,0,0,0,0,Juazeiro
-9.41152042,-40.51186768,0,0,0,0,0,0,0,0,0,0,0,0,0,Juazeiro
-9.41169306,-40.50349095999999,0,0,0,0,0,0,0,0,0,0,0,0,0,Juazeiro
-9.41143529090909,-40.50466108181819,0,0,0,0,0,0,0,0,0,0,0,0,0,Juazeiro
-22.44158222,-46.97448552,0,0,0,0,0,0,0,0,0,0,0,0,0,Indeterminado
