latitude,longitude,16-06,22-06,29-06,06-07,13-07,20-07
-21.9221343,-50.73010484,0,1,0,0,0,0
-21.921746466666665,-50.72990793333333,0,1,0,0,0,0
-7.2274133625,-35.86945145,14,9,15,15,11,10
-7.2155342000000005,-35.87818276,15,15,15,15,15,13
-23.5692627,-46.58571113333334,13,13,15,15,15,12
-20.351959100000002,-40.315060136363634,15,4,14,2,15,15
-22.002964185714287,-51.56005227142857,1,0,0,1,1,2
-23.97751032,-46.311164500000004,11,12,13,10,3,3
-23.552096028571423,-46.30671018571429,15,15,15,15,15,13
-23.981018766666665,-46.30076783333334,11,12,11,10,2,1
-20.543024999999997,-54.604280960000004,0,0,0,0,0,0
-20.49590196666667,-54.646520633333346,2,6,8,6,5,8
-19.94187888,-43.92758146,15,0,1,9,7,13
-23.5608561,-46.65096717777778,5,3,7,6,2,5
-22.97093059166667,-43.37857386666667,11,14,10,9,15,15
-6.99370322,-36.71566876,0,0,0,0,0,0
-22.216527920000004,-54.85508864,1,1,2,0,0,0
-5.15464584,-38.091887500000006,2,1,3,1,1,2
-27.356669071428573,-53.401530900000004,1,3,2,1,2,1
-20.61468362,-46.04327414,0,0,1,0,0,0
-23.765233040000002,-53.87970946,1,1,0,0,1,1
-22.90745202857143,-43.06744985714285,10,10,9,9,13,15
-21.2821414,-50.33577362,15,15,15,15,15,15
-7.221657822222222,-35.887907588888886,15,15,15,15,15,13
-22.82785442222222,-43.05205445,5,12,3,8,6,5
-20.492730683333335,-54.652208300000005,2,6,8,5,5,8
-31.591323361538464,-52.631603115384614,1,1,0,0,0,1
-23.52475261111111,-46.77195394444444,1,15,13,13,15,15
-20.33242601111111,-40.37800118888889,15,15,11,13,15,5
-9.47224782,-40.8043035,0,0,0,0,0,0
-27.439874219999997,-48.398927359999995,9,11,5,9,4,15
-22.75893222857143,-52.99087581428572,0,0,0,0,1,1
-5.088551185714286,-42.80408037142856,2,15,15,15,15,15
-7.741847811111111,-38.100061144444446,0,0,0,0,0,0
-7.740776542857143,-37.99308922857143,15,12,15,15,15,15
-7.741432059999999,-37.99493268,15,15,3,2,0,1
-23.07266737142857,-52.46456365714285,0,0,0,2,4,1
-24.728994800000002,-53.76476053076922,9,11,9,13,15,12
-22.644050228571427,-43.65637354285714,7,4,11,11,2,9
-22.647077428000003,-43.605727859999995,0,2,1,0,0,0
-20.464585380000003,-54.634102544,3,2,2,4,9,12
-22.896465260000003,-43.290243800000006,11,15,13,15,11,12
-10.076300207692308,-38.353728207692306,1,0,0,1,1,0
-24.535953847619048,-49.93462355238095,0,0,1,0,0,0
-22.3784446875,-46.941199299999994,6,5,8,6,11,14
-23.49952784,-47.444839280000004,15,15,13,15,15,15
-23.410503485714283,-50.35488412380952,0,0,2,0,2,1
-22.91374586,-45.364668900000005,1,4,1,2,1,0
-30.04926148333333,-51.20894706666667,12,13,15,12,15,13
-26.078163899999996,-53.06395679999999,5,11,11,8,13,13
-23.00576663846154,-43.31418479230769,15,4,2,0,8,10
-23.1803715,-45.854935211764705,12,9,7,2,15,9
-21.713687477777782,-52.41933765555555,1,0,0,2,14,14
-26.923665970000002,-49.065871550000004,15,7,13,15,13,11
-26.927168966666667,-49.055147588888886,15,5,12,13,11,6
-27.345017318181817,-51.61219014545454,8,15,6,5,15,1
-20.663483239999998,-40.500184600000004,15,15,13,15,15,15
-10.92280312,-37.0509584,13,13,13,13,13,12
-25.4351231,-49.280015255555554,13,15,15,15,15,12
-20.851430673684213,-41.11330316842105,15,15,15,15,15,15
-20.851481782352938,-41.11437956470588,15,15,15,15,15,15
-20.843615642857145,-41.11324462857143,15,15,15,15,15,15
-21.461684614285712,-45.224064757142855,0,0,0,0,0,0
-21.85763937777778,-45.292544666666664,1,1,1,0,0,0
-15.826913335294117,-47.930498047058826,15,15,13,14,4,15
-15.826428066666669,-47.92978237777777,15,15,13,14,4,15
-15.82772122857143,-47.92959460000001,15,15,13,14,4,15
-15.828445754545454,-47.92992081818182,15,15,13,13,2,15
-15.800227280000001,-47.890395319999996,6,15,15,15,13,15
-6.06229156,-49.909017219999996,11,12,12,14,15,13
-6.08134236,-49.89609662,1,2,1,13,15,15
-15.824062744444445,-47.92737001111111,15,13,13,12,4,15
-15.834563220000001,-47.91187046,9,13,3,8,6,13
-15.822737219999999,-47.89558572,15,13,11,13,11,12
-15.8166575,-47.88889606,6,10,7,15,9,5
-15.820295983333333,-47.926542000000005,15,13,12,13,2,13
-15.813276733333332,-47.91244115555556,11,13,13,6,7,6
-15.845391057142859,-47.882352742857144,5,11,15,11,15,15
-15.75257498,-47.82894955333334,0,0,3,0,1,4
-21.871382249999996,-51.841162399999995,13,6,14,7,7,11
-20.4520255875,-54.642150349999994,9,13,3,15,12,8
-22.9738698,-46.9976416,12,15,15,13,15,15
-29.16474540208333,-51.200904752083325,15,13,5,5,10,6
-23.43664118,-51.96055352,15,15,15,11,6,2
-23.43647564,-51.95935466000001,15,15,15,11,6,2
-23.001553725,-46.991194175000004,14,15,13,15,11,13
-22.963733884210523,-47.011179157894745,0,1,1,1,2,2
-14.49855220909091,-42.22487475454546,2,4,5,2,4,6
-14.501409520000001,-42.22242788,2,4,5,2,4,6
-14.512260650000002,-42.220340462500005,0,1,0,0,1,0
-22.965341327272725,-43.190437427272734,7,14,4,12,15,4
-24.73027382727273,-53.73783885454545,12,15,15,14,15,15
-15.846679766666666,-47.88332983333333,6,10,15,11,15,15
-20.665653471428573,-43.79930338571428,15,15,15,15,15,15
-21.205102039999996,-49.292141619999995,3,2,3,1,2,2
-21.00856537142857,-40.82186855714286,0,5,2,1,0,2
-24.730460790000002,-53.741429440000005,12,15,15,14,15,15
-24.7445331125,-53.7219755375,1,1,0,1,0,0
-24.73615912,-53.73470848000001,2,5,6,3,3,4
-23.511909257142857,-46.62651895714286,11,12,15,14,15,15
-20.51473564666667,-54.65439113333334,9,4,2,7,8,10
-20.46379618888889,-54.59354274444445,15,15,15,13,13,13
-20.4542182,-54.61686972727273,15,13,13,15,15,15
-21.853432233333333,-46.56417414444444,1,0,0,0,0,0
-23.67087663076923,-46.53344633461538,15,15,15,15,15,15
-20.46853774,-54.60920517000001,15,15,15,13,15,15
-23.66870778,-46.52650184,15,15,15,15,15,15
-22.438431658333332,-46.95937459166666,6,14,12,12,3,6
-22.425617855555558,-46.96510162222223,3,8,8,7,1,3
-25.192105216666665,-49.3119427,4,4,3,2,4,2
-22.90113984,-47.05561764,15,15,15,15,15,15
-22.900571364285717,-47.055758271428566,15,15,15,15,13,15
-18.906108640000003,-48.24663752,10,11,5,4,6,6
-20.42542989,-54.55275929999999,1,1,1,0,4,8
-4.94955856,-47.47876821999999,11,15,15,8,8,13
-20.463273800000003,-54.6059617,15,15,15,13,15,15
-16.717398799999998,-43.85824922857143,10,9,13,15,13,15
-6.063109999999999,-50.074092666666665,1,2,0,1,0,0
-19.398135019999998,-40.0706976,9,13,15,15,10,10
-19.39277504,-40.06943878,8,13,15,15,11,10
-28.723862975000003,-52.8488328375,0,0,0,0,0,0
-19.39855654,-40.0613012,10,14,15,15,15,12
-23.564872445454544,-46.74110994545454,15,15,14,1,11,13
-20.794390149999998,-51.70200308333333,15,15,15,13,11,14
-16.039984083333334,-48.036844816666665,2,3,2,0,1,2
-15.833760816666667,-47.91019333333333,15,15,9,13,6,15
-15.83426126153846,-47.91106837692307,9,13,3,8,6,13
-22.770580041176473,-47.14983554705882,10,6,13,10,14,15
-6.772590940000001,-38.23034405999999,7,11,13,10,5,4
-6.76422112,-38.22013446,15,15,15,15,15,15
-22.913069774999997,-43.68769020833334,2,11,10,7,10,13
